algo,variant,mean,std,count,metric,mean_std,scenario
ia2c,,0.06097626018854493,0.00019857015645615792,5,sync,0.061 ± 0.0,tfm_Prev3
ia2c,,0.3924975442409814,0.0010518119373462823,5,uptime,0.392 ± 0.001,tfm_Prev3
ippo,,3.1145970525015523,0.0,5,Occupancy Percentage,3.115 ± 0.0,tfm_Prev3
ippo,,0.1299505378087865,0.0,5,efficiency,0.13 ± 0.0,tfm_Prev3
ippo,,-0.09660040400580161,6.938893903907228e-18,5,occupancy,-0.097 ± 0.0,tfm_Prev3
ippo,,0.03953135181446039,6.009258394948637e-18,5,sync,0.04 ± 0.0,tfm_Prev3
ippo,,0.3190984141855779,3.925231146709438e-17,5,uptime,0.319 ± 0.0,tfm_Prev3
itrpo,,4.397749906935425,0.0,5,Occupancy Percentage,4.398 ± 0.0,tfm_Prev3
itrpo,,0.22277142742102324,0.0,5,efficiency,0.223 ± 0.0,tfm_Prev3
itrpo,,-0.10993380684335541,1.5515838457795457e-17,5,occupancy,-0.11 ± 0.0,tfm_Prev3
itrpo,,0.05652316440422199,6.009258394948637e-18,5,sync,0.057 ± 0.0,tfm_Prev3
itrpo,,0.3663336322394394,0.0,5,uptime,0.366 ± 0.0,tfm_Prev3
maa2c,,3.8657528183704235,0.010577071852125844,5,Occupancy Percentage,3.866 ± 0.011,tfm_Prev3
maa2c,,0.1340315851961535,0.0005144547132506866,5,efficiency,0.134 ± 0.001,tfm_Prev3
maa2c,,-0.10865924570485552,0.0004972055110469485,5,occupancy,-0.109 ± 0.0,tfm_Prev3
maa2c,,0.06080194675892954,0.00035545938980033277,5,sync,0.061 ± 0.0,tfm_Prev3
maa2c,,0.3637150129104706,0.0016105988325943183,5,uptime,0.364 ± 0.002,tfm_Prev3
mappo,,3.1450574108386937,0.0,5,Occupancy Percentage,3.145 ± 0.0,tfm_Prev3
mappo,,0.13465974596988464,0.0,5,efficiency,0.135 ± 0.0,tfm_Prev3
mappo,,-0.09780312575970095,1.2018516789897274e-17,5,occupancy,-0.098 ± 0.0,tfm_Prev3
mappo,,0.03680458215268336,6.938893903907228e-18,5,sync,0.037 ± 0.0,tfm_Prev3
mappo,,0.3217901413020982,0.0,5,uptime,0.322 ± 0.0,tfm_Prev3
matrpo,,4.086082303040564,0.0,5,Occupancy Percentage,4.086 ± 0.0,tfm_Prev3
matrpo,,0.18649875984890102,0.0,5,efficiency,0.186 ± 0.0,tfm_Prev3
matrpo,,-0.08986504289876816,0.0,5,occupancy,-0.09 ± 0.0,tfm_Prev3
matrpo,,0.044040809633079214,0.0,5,sync,0.044 ± 0.0,tfm_Prev3
matrpo,,0.30637373630209075,0.0,5,uptime,0.306 ± 0.0,tfm_Prev3
happo,,15.320276731472486,0.01907875964443972,5,Occupancy Percentage,15.32 ± 0.019,tfm_gamma85
happo,,0.8717977215615458,3.710119762317652e-05,5,efficiency,0.872 ± 0.0,tfm_gamma85
happo,,-0.28582409654840696,5.768141181672856e-05,5,occupancy,-0.286 ± 0.0,tfm_gamma85
happo,,0.18109227898481,0.0002447270388720037,5,sync,0.181 ± 0.0,tfm_gamma85
happo,,0.9910695461472837,5.42907217006635e-07,5,uptime,0.991 ± 0.0,tfm_gamma85
hatrpo,,3.8860889107114893,0.27450994634793935,5,Occupancy Percentage,3.886 ± 0.275,tfm_gamma85
hatrpo,,0.18279228949772683,0.008836962400639732,5,efficiency,0.183 ± 0.009,tfm_gamma85
hatrpo,,-0.08105646705746,0.0038974043149760276,5,occupancy,-0.081 ± 0.004,tfm_gamma85
hatrpo,,0.041592209917493954,0.0019183286622114154,5,sync,0.042 ± 0.002,tfm_gamma85
hatrpo,,0.2766276752487017,0.013397713852040031,5,uptime,0.277 ± 0.013,tfm_gamma85
ia2c,,3.869981258567543,0.0,5,Occupancy Percentage,3.87 ± 0.0,tfm_gamma85
ia2c,,0.1321292709791672,0.0,5,efficiency,0.132 ± 0.0,tfm_gamma85
ia2c,,-0.11789862736423325,0.0,5,occupancy,-0.118 ± 0.0,tfm_gamma85
ia2c,,0.06088745691491717,0.0,5,sync,0.061 ± 0.0,tfm_gamma85
ia2c,,0.39202715964269097,0.0,5,uptime,0.392 ± 0.0,tfm_gamma85
ippo,,3.1145970525015523,0.0,5,Occupancy Percentage,3.115 ± 0.0,tfm_gamma85
ippo,,0.1299505378087865,0.0,5,efficiency,0.13 ± 0.0,tfm_gamma85
ippo,,-0.09660040400580161,6.938893903907228e-18,5,occupancy,-0.097 ± 0.0,tfm_gamma85
ippo,,0.03953135181446039,3.469446951953614e-18,5,sync,0.04 ± 0.0,tfm_gamma85
ippo,,0.31909841418557794,2.7755575615628914e-17,5,uptime,0.319 ± 0.0,tfm_gamma85
itrpo,,4.397749906935425,0.0,5,Occupancy Percentage,4.398 ± 0.0,tfm_gamma85
itrpo,,0.22277142742102324,0.0,5,efficiency,0.223 ± 0.0,tfm_gamma85
itrpo,,-0.10993380684335541,1.5515838457795457e-17,5,occupancy,-0.11 ± 0.0,tfm_gamma85
itrpo,,0.05652316440422198,0.0,5,sync,0.057 ± 0.0,tfm_gamma85
itrpo,,0.3663336322394394,0.0,5,uptime,0.366 ± 0.0,tfm_gamma85
maa2c,,3.8657528183704235,0.010577071852125844,5,Occupancy Percentage,3.866 ± 0.011,tfm_gamma85
maa2c,,0.1340097085299469,0.00048304322768414086,5,efficiency,0.134 ± 0.0,tfm_gamma85
maa2c,,-0.10860284463940302,0.0004098758548783745,5,occupancy,-0.109 ± 0.0,tfm_gamma85
maa2c,,0.06072347369058029,0.0002198192357740818,5,sync,0.061 ± 0.0,tfm_gamma85
maa2c,,0.3635400022716382,0.0013409623421664879,5,uptime,0.364 ± 0.001,tfm_gamma85
mappo,,3.1450574108386937,0.0,5,Occupancy Percentage,3.145 ± 0.0,tfm_gamma85
mappo,,0.13465974596988467,1.3877787807814457e-17,5,efficiency,0.135 ± 0.0,tfm_gamma85
mappo,,-0.09780312575970095,0.0,5,occupancy,-0.098 ± 0.0,tfm_gamma85
mappo,,0.03680458215268336,3.469446951953614e-18,5,sync,0.037 ± 0.0,tfm_gamma85
mappo,,0.3217901413020982,0.0,5,uptime,0.322 ± 0.0,tfm_gamma85
matrpo,,4.086082303040564,0.0,5,Occupancy Percentage,4.086 ± 0.0,tfm_gamma85
matrpo,,0.18649875984890102,0.0,5,efficiency,0.186 ± 0.0,tfm_gamma85
matrpo,,-0.08986504289876816,0.0,5,occupancy,-0.09 ± 0.0,tfm_gamma85
matrpo,,0.044040809633079214,0.0,5,sync,0.044 ± 0.0,tfm_gamma85
matrpo,,0.30637373630209075,0.0,5,uptime,0.306 ± 0.0,tfm_gamma85
happo,,15.326612464190285,0.029994868839327504,5,Occupancy Percentage,15.327 ± 0.03,tfm_gamma95
happo,,0.871820585085036,3.472849214347944e-05,5,efficiency,0.872 ± 0.0,tfm_gamma95
happo,,-0.28579234345119814,0.00010256267566532744,5,occupancy,-0.286 ± 0.0,tfm_gamma95
happo,,0.1811770232601311,0.00033657063530692194,5,sync,0.181 ± 0.0,tfm_gamma95
happo,,0.9910689363482797,6.523962359901065e-07,5,uptime,0.991 ± 0.0,tfm_gamma95
hatrpo,,3.811052892336657,0.5509331988502406,5,Occupancy Percentage,3.811 ± 0.551,tfm_gamma95
hatrpo,,0.1769114635918164,0.022995666319874958,5,efficiency,0.177 ± 0.023,tfm_gamma95
hatrpo,,-0.0784618397768696,0.009635788392169374,5,occupancy,-0.078 ± 0.01,tfm_gamma95
hatrpo,,0.040375783435382236,0.004784101224397855,5,sync,0.04 ± 0.005,tfm_gamma95
hatrpo,,0.2682617747181037,0.03373399204469676,5,uptime,0.268 ± 0.034,tfm_gamma95
ia2c,,3.869981258567543,0.0,5,Occupancy Percentage,3.87 ± 0.0,tfm_gamma95
ia2c,,0.1321292709791672,0.0,5,efficiency,0.132 ± 0.0,tfm_gamma95
ia2c,,-0.11789862736423325,0.0,5,occupancy,-0.118 ± 0.0,tfm_gamma95
ia2c,,0.06088745691491717,0.0,5,sync,0.061 ± 0.0,tfm_gamma95
ia2c,,0.39202715964269097,0.0,5,uptime,0.392 ± 0.0,tfm_gamma95
ippo,,3.1145970525015523,0.0,5,Occupancy Percentage,3.115 ± 0.0,tfm_gamma95
ippo,,0.1299505378087865,2.7755575615628914e-17,5,efficiency,0.13 ± 0.0,tfm_gamma95
ippo,,-0.09660040400580162,9.813077866773595e-18,5,occupancy,-0.097 ± 0.0,tfm_gamma95
ippo,,0.03953135181446039,0.0,5,sync,0.04 ± 0.0,tfm_gamma95
ippo,,0.31909841418557794,0.0,5,uptime,0.319 ± 0.0,tfm_gamma95
itrpo,,4.397749906935425,0.0,5,Occupancy Percentage,4.398 ± 0.0,tfm_gamma95
itrpo,,0.22277142742102324,1.3877787807814457e-17,5,efficiency,0.223 ± 0.0,tfm_gamma95
itrpo,,-0.10993380684335541,0.0,5,occupancy,-0.11 ± 0.0,tfm_gamma95
itrpo,,0.05652316440422199,6.938893903907228e-18,5,sync,0.057 ± 0.0,tfm_gamma95
itrpo,,0.3663336322394394,0.0,5,uptime,0.366 ± 0.0,tfm_gamma95
maa2c,,3.861890617806582,0.008636143003487654,5,Occupancy Percentage,3.862 ± 0.009,tfm_gamma95
maa2c,,0.13383332608191176,0.00039440314384439916,5,efficiency,0.134 ± 0.0,tfm_gamma95
maa2c,,-0.10845317913840731,0.0003346622341130345,5,occupancy,-0.108 ± 0.0,tfm_gamma95
maa2c,,0.06064320705457561,0.00017948165443168278,5,sync,0.061 ± 0.0,tfm_gamma95
maa2c,,0.3630503520559251,0.001094891167531783,5,uptime,0.363 ± 0.001,tfm_gamma95
mappo,,3.1450574108386937,0.0,5,Occupancy Percentage,3.145 ± 0.0,tfm_gamma95
mappo,,0.13465974596988467,1.3877787807814457e-17,5,efficiency,0.135 ± 0.0,tfm_gamma95
mappo,,-0.09780312575970095,9.813077866773595e-18,5,occupancy,-0.098 ± 0.0,tfm_gamma95
mappo,,0.03680458215268336,0.0,5,sync,0.037 ± 0.0,tfm_gamma95
mappo,,0.3217901413020982,0.0,5,uptime,0.322 ± 0.0,tfm_gamma95
matrpo,,4.086082303040564,0.0,5,Occupancy Percentage,4.086 ± 0.0,tfm_gamma95
matrpo,,0.18649875984890102,0.0,5,efficiency,0.186 ± 0.0,tfm_gamma95
matrpo,,-0.08986504289876816,0.0,5,occupancy,-0.09 ± 0.0,tfm_gamma95
matrpo,,0.044040809633079214,0.0,5,sync,0.044 ± 0.0,tfm_gamma95
matrpo,,0.30637373630209075,0.0,5,uptime,0.306 ± 0.0,tfm_gamma95
happo,,15.336663559179405,0.008032211532911717,5,Occupancy Percentage,15.337 ± 0.008,tfm_gamma75
happo,,0.8718041435254333,1.6232424109180934e-05,5,efficiency,0.872 ± 0.0,tfm_gamma75
happo,,-0.28577672804631254,3.6950895018849646e-05,5,occupancy,-0.286 ± 0.0,tfm_gamma75
happo,,0.18108916603372743,0.0003058389464099286,5,sync,0.181 ± 0.0,tfm_gamma75
happo,,0.9910690729378923,8.310288780030934e-07,5,uptime,0.991 ± 0.0,tfm_gamma75
hatrpo,,3.8280924275020625,0.16249994036004248,5,Occupancy Percentage,3.828 ± 0.162,tfm_gamma75
hatrpo,,0.18235060143358411,0.005169384739160423,5,efficiency,0.182 ± 0.005,tfm_gamma75
hatrpo,,-0.08131800786273494,0.0029967630204556167,5,occupancy,-0.081 ± 0.003,tfm_gamma75
hatrpo,,0.04219839728776594,0.0012657713561360394,5,sync,0.042 ± 0.001,tfm_gamma75
hatrpo,,0.27665679562688567,0.00991523787719916,5,uptime,0.277 ± 0.01,tfm_gamma75
ia2c,,3.855144779753376,0.020315685301167126,5,Occupancy Percentage,3.855 ± 0.02,tfm_gamma75
ia2c,,0.13136767358607326,0.001044121987763883,5,efficiency,0.131 ± 0.001,tfm_gamma75
ia2c,,-0.11772513629123808,0.00023946944682429525,5,occupancy,-0.118 ± 0.0,tfm_gamma75
ia2c,,0.0609465388323253,0.00011456263233151497,5,sync,0.061 ± 0.0,tfm_gamma75
ia2c,,0.39138862047186984,0.0008791993893798248,5,uptime,0.391 ± 0.001,tfm_gamma75
ippo,,3.1145970525015523,0.0,5,Occupancy Percentage,3.115 ± 0.0,tfm_gamma75
ippo,,0.1299505378087865,1.3877787807814457e-17,5,efficiency,0.13 ± 0.0,tfm_gamma75
ippo,,-0.09660040400580161,6.938893903907228e-18,5,occupancy,-0.097 ± 0.0,tfm_gamma75
ippo,,0.03953135181446039,0.0,5,sync,0.04 ± 0.0,tfm_gamma75
ippo,,0.31909841418557794,0.0,5,uptime,0.319 ± 0.0,tfm_gamma75
itrpo,,4.397749906935425,0.0,5,Occupancy Percentage,4.398 ± 0.0,tfm_gamma75
itrpo,,0.22277142742102324,1.3877787807814457e-17,5,efficiency,0.223 ± 0.0,tfm_gamma75
itrpo,,-0.10993380684335541,1.5515838457795457e-17,5,occupancy,-0.11 ± 0.0,tfm_gamma75
itrpo,,0.05652316440422199,7.757919228897728e-18,5,sync,0.057 ± 0.0,tfm_gamma75
itrpo,,0.3663336322394394,0.0,5,uptime,0.366 ± 0.0,tfm_gamma75
maa2c,,3.8567334926217667,0.026320863563466117,5,Occupancy Percentage,3.857 ± 0.026,tfm_gamma75
maa2c,,0.1337516506156937,0.0008910020362542285,5,efficiency,0.134 ± 0.001,tfm_gamma75
maa2c,,-0.10843663248881827,0.0006561339309672735,5,occupancy,-0.108 ± 0.001,tfm_gamma75
maa2c,,0.060609577560527164,0.0003986131391314923,5,sync,0.061 ± 0.0,tfm_gamma75
maa2c,,0.36296273886266345,0.002208535936645094,5,uptime,0.363 ± 0.002,tfm_gamma75
mappo,,3.1450574108386937,0.0,5,Occupancy Percentage,3.145 ± 0.0,tfm_gamma75
mappo,,0.13465974596988464,0.0,5,efficiency,0.135 ± 0.0,tfm_gamma75
mappo,,-0.09780312575970095,9.813077866773595e-18,5,occupancy,-0.098 ± 0.0,tfm_gamma75
mappo,,0.03680458215268336,0.0,5,sync,0.037 ± 0.0,tfm_gamma75
mappo,,0.3217901413020982,0.0,5,uptime,0.322 ± 0.0,tfm_gamma75
matrpo,,4.086082303040564,0.0,5,Occupancy Percentage,4.086 ± 0.0,tfm_gamma75
matrpo,,0.18649875984890102,0.0,5,efficiency,0.186 ± 0.0,tfm_gamma75
matrpo,,-0.08986504289876816,0.0,5,occupancy,-0.09 ± 0.0,tfm_gamma75
matrpo,,0.044040809633079214,0.0,5,sync,0.044 ± 0.0,tfm_gamma75
matrpo,,0.30637373630209075,0.0,5,uptime,0.306 ± 0.0,tfm_gamma75
