episode,occupancy,uptime,sync,efficiency
2,0.6447934978426655,0.8675282824223236,0.1411461062570575,0.9684455346990998
3,0.5608738407845391,0.9841221827060511,0.05879006260669728,0.9347605538484786
3,0.5599421940753363,0.9830776803832227,0.04860825547607298,0.9425070672702651
3,0.5567400409395125,0.9833181677379683,0.03591853581375683,0.9392960825258486
3,0.558278521642406,0.9824183833585772,0.051517443319665825,0.938650716183815
3,0.5596928215639452,0.9837752101902166,0.07442202793820828,0.9447474825653348
2,0.643854786011633,0.8480767307124679,0.1650758316827275,0.9684718624598055
2,0.6423451969797924,0.8549659296405517,0.20400698176406803,0.9693450625466262
3,0.5598449929811256,0.9818966814615939,0.08768344337073028,0.9474325841107903
2,0.6443541329164322,0.8715147524781877,0.1840232717702586,0.9694023521799296
4,0.7104270549332169,0.9790820663327209,0.05055547909803502,0.9395908084496112
3,0.5584481339267483,0.9808635804960659,0.07309070723265661,0.94460369613819
4,0.7114131887021691,0.9795134692616685,0.02882192189786782,0.9420210938773405
3,0.5582967791829222,0.9809714762243464,0.059902993784314865,0.9432996645953677
3,0.5605920826092231,0.9804746856374379,0.061503171060607584,0.9499262755610263
3,0.5606551168226079,0.722789074419979,0.1528486806164164,0.9691046167027885
3,0.5619919584154351,0.8091132661288336,0.04320176635888562,0.9681191397302527
3,0.5616159393727271,0.811679550527936,0.1510020434029996,0.9684569608023855
3,0.5609679177747025,0.7652774625329026,0.09890416774875113,0.9685801866894934
4,0.7118054531509487,0.9775263139517879,0.05591316571776637,0.9498512313692267
3,0.5614133618022771,0.7663319782380359,0.10670226555660962,0.9691792831895768
3,0.5618911857689327,0.7553955842451621,0.07693044977396597,0.9690743820404801
3,0.5612741478278431,0.8172502436728617,0.1387992785623668,0.9693758660077135
3,0.5604062493148942,0.9781462118287001,0.09731100216571496,0.9563611911618757
3,0.5614951158524624,0.8150943952761583,0.1174575589813378,0.9684567555130638
4,0.7122627383793133,0.9757883890874718,0.06523659887794939,0.9523442926420783
3,0.5610905993253011,0.8071542587109517,0.09227772890097978,0.9686780422289744
4,0.709805059442716,0.9753696632803006,0.029167520230293696,0.9469026629095263
3,0.5617851988237326,0.8215791919826663,0.13821320838002,0.969328854336039
3,0.5612980902757333,0.8034155725679876,0.18610421759000748,0.96959416492382
3,0.5608944550549418,0.9767470585656591,0.09846115922381203,0.9541153982339077
