trip_label,pt_sequence,stop_id,method,n_points,mse,rmse,mae,mape_pct,wape_pct
20001_0310_2,31,45833505,timesfm,510,0.0019478816248255754,0.04413481193825998,0.028785945862467747,57.90404938905171,71.50414893226748
20001_0310_2,32,44165028,naive,514,0.0033041796770681884,0.057481994372744136,0.04276525163715017,89.2424796744328,58.986114229286414
20001_0310_2,32,44165028,timesfm,514,0.0036124116405471876,0.060103341342617446,0.04186624037756418,71.0031194991833,57.74610794331176
20001_0310_2,33,44783562,naive,515,0.006421570958208967,0.08013470507969045,0.057811180941615865,101.79831360474456,53.84605537314828
20001_0310_2,33,44783562,timesfm,515,0.006652561954410545,0.0815632389892073,0.05683490071215133,84.940587395051,52.936735784113296
20001_0310_2,34,44783564,naive,515,0.005273892889589751,0.07262157316933965,0.05374330436828935,94.12914484036466,58.1391636221131
20001_0310_2,34,44783564,timesfm,515,0.005427300030144736,0.07367021128071194,0.05086907925280896,69.09982939213457,55.029845238364814
20001_0310_2,35,48480954,naive,514,0.0068082713702179954,0.08251224981915106,0.06141554036699525,94.20508052376377,54.9177854390405
20001_0310_2,35,48480954,timesfm,514,0.0076145089056131815,0.08726115347400114,0.062153123975514,81.06684394250307,55.57733281278232
20001_0310_2,36,128264371,naive,517,0.0021174627617768747,0.04601589683768942,0.03346857444583159,81.18326500358731,68.89152978305727
20001_0310_2,36,128264371,timesfm,517,0.0025374046977014674,0.050372658235410483,0.032499840212409425,58.762642588090365,66.89749255862502
20001_0310_2,37,44783263,naive,520,0.0033375466268011503,0.0577715035878516,0.04075977922587369,83.18943451997345,58.6042143663562
20001_0310_2,37,44783263,timesfm,520,0.0038611715786478987,0.062138326165482594,0.04200640429581444,67.5218896768385,60.39660589106067
20001_0310_2,38,44784244,naive,520,0.00093593344328665,0.03059302932510362,0.021708761767233506,63.773125318843135,89.6440424406273
20001_0310_2,38,44784244,timesfm,520,0.001122780439668451,0.03350791607468974,0.02086640518122854,58.13131003510451,86.16561974864554
20001_0310_2,39,46021755,naive,520,0.0016840474210972648,0.04103714684401518,0.028468666140599033,92.11122636982893,93.87163440108759
20001_0310_2,39,46021755,timesfm,520,0.0015235564145483038,0.039032760785631136,0.02470199292259237,59.89361771563636,81.45153120823566
20001_0310_2,40,43768282,naive,519,0.003730970723885705,0.061081672569484415,0.041981676507064705,86.50218506386179,60.31529315462581
20001_0310_2,40,43768282,timesfm,519,0.004318029118619803,0.06571171218755302,0.04283265536751953,71.272100598236,61.53789891283286
20001_0310_2,41,43768244,naive,522,0.001162445519906816,0.034094655298254825,0.02454991396463037,67.37282719391722,77.95342738107475
20001_0310_2,41,43768244,timesfm,522,0.0013359527345993298,0.03655068719736101,0.024006422927281532,55.39996314207044,76.22767839583283
20001_0310_2,42,47567660,naive,525,0.0012855675238815224,0.03585481172564601,0.024952635887699824,75.96309309902784,94.89723333587847
20001_0310_2,42,47567660,timesfm,525,0.0013269599864778284,0.03642746198238121,0.021974307479935565,61.4597129006271,83.5703688260732
20001_0310_2,43,45834545,naive,524,0.00032931985779156625,0.01814717217065971,0.012508322947786567,55.508503989053736,150.62509950563344
