#{"t_start": 1749318088.2601073, "env_id": "None"}
r,l,t
-100000.0,1,2.352114
-100000.0,1,2.356287
-100000.0,1,2.360454
-100000.0,1,2.365367
-100000.0,1,2.368894
-100000.0,1,2.371433
-100000.0,1,2.375314
-100000.0,1,2.381157
-100000.0,1,2.384268
-100000.0,1,2.385858
-100000.0,1,2.391126
-100000.0,1,2.399711
-100000.0,1,2.405569
-100000.0,1,2.408473
-100000.0,1,2.416058
-100000.0,1,2.420401
-100000.0,1,2.423328
-100000.0,1,2.428129
-100000.0,1,2.433527
-100000.0,1,2.438845
-100000.0,1,2.441389
-100000.0,1,2.443353
-100000.0,1,2.449079
-100000.0,1,2.454031
-100000.0,1,2.455528
-100000.0,1,2.4598
-100000.0,1,2.469814
-100000.0,1,2.474213
-1511731.578664,2,2.478118
-100000.0,1,2.486628
-100000.0,1,2.488327
-100000.0,1,2.491969
-100000.0,1,2.497803
-100000.0,1,2.502079
-100000.0,1,2.505004
-100000.0,1,2.509114
-100000.0,1,2.511431
-100000.0,1,2.517591
-100000.0,1,2.519685
-100000.0,1,2.524372
-100000.0,1,2.528757
-100000.0,1,2.533321
-100000.0,1,2.538935
-100000.0,1,2.542712
-100000.0,1,2.547527
-100000.0,1,2.55195
-100000.0,1,2.555088
-100000.0,1,2.561655
-100000.0,1,2.565192
-100000.0,1,2.570175
-100000.0,1,2.572877
-100000.0,1,2.578427
-100000.0,1,2.580878
-100000.0,1,2.585459
-100000.0,1,2.589488
-100000.0,1,2.595979
-100000.0,1,2.598746
-100000.0,1,2.606781
-100000.0,1,2.610658
-100000.0,1,2.615131
-100000.0,1,2.618598
-100000.0,1,2.624229
-100000.0,1,2.627652
-100000.0,1,2.634496
-100000.0,1,2.63729
-100000.0,1,2.640197
-100000.0,1,2.644071
-100000.0,1,2.649876
-100000.0,1,2.651684
-100000.0,1,2.659547
-100000.0,1,2.664769
-100000.0,1,2.670231
-100000.0,1,2.673337
-100000.0,1,2.6776
-100000.0,1,2.683341
-149351.499994,2,2.688338
-100000.0,1,2.696032
-100000.0,1,2.700835
-100000.0,1,2.703076
-100000.0,1,2.708735
-100000.0,1,2.715011
-100000.0,1,2.716676
-100000.0,1,2.722082
-100000.0,1,2.727685
-100000.0,1,2.732816
-100000.0,1,2.737377
-100000.0,1,2.739633
-100000.0,1,2.745155
-100000.0,1,2.750299
-100000.0,1,2.754324
-100000.0,1,2.757728
-100000.0,1,2.762022
-100000.0,1,2.765409
-100000.0,1,2.77027
-100000.0,1,2.772948
-100000.0,1,2.778958
-100000.0,1,2.783036
-100000.0,1,2.785543
-100000.0,1,2.788831
-100000.0,1,2.794211
-1361455.849969,2,2.800296
-100000.0,1,2.802078
-100000.0,1,2.805718
-100000.0,1,2.81431
-100000.0,1,2.816206
-100000.0,1,2.818901
-100000.0,1,2.822814
-100000.0,1,2.829987
-100000.0,1,2.831897
-100000.0,1,2.8358
-100000.0,1,2.839059
