algo,variant,group,seed,auc
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 23",0.6070023461371533
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 24",0.6074776029855888
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 25",0.6124125973229988
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 3",0.6104233484476093
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 4",0.6076961689811562
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 5",0.6210566648296921
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 6",0.606409529151894
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 7",0.6077456572141133
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 8",0.6123949620375762
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 9",0.6075701971158162
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 1",0.6828977094859822
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 10",0.689631075757053
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 11",0.6596069111099419
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 12",0.6902227936748123
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 13",0.688573128736511
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 14",0.678672497835632
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 15",0.7217573948174516
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 16",0.6620246019940808
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 17",0.6765517197648077
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 18",0.6895448041064232
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 19",0.7167361496775708
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 2",0.6645294683885767
