algo,variant,group,seed,mean_reward
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 19",5.753983120593999
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 2",5.897436100837267
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 20",5.936847656853691
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 21",5.9196395363412
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 22",5.951567373628157
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 23",5.906256218777228
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 24",5.824717362075389
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 25",5.973797385049901
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 3",5.973797385049901
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 4",5.936847656853691
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 5",5.753983120593999
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 6",5.824717362075389
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 7",5.862008958553467
